url,product_id,brandname,category,individual_category,category_by_gender,description,discountprice_(in_rs),originalprice_(in_rs),discountoffer,sizeoption,ratings,reviews,discount_amount,discount_percent
https://www.myntra.com/jeans/mast--harbour/mast--harbour-men-navy-blue-slim-tapered-fit-mid-rise-clean-look-stretchable-jeans/11283772/buy,11283772,Mast & Harbour,Bottom Wear,jeans,Men,mast  harbour men navy blue slim tapered fit mid rise clean look stretchable jeans,879.0,2199,60% OFF,"28, 30, 32, 34, 36",3.7,238.0,1320.0,60.027285129604365
https://www.myntra.com/trousers/blackberrys/blackberrys-men-beige-trousers/11898666/buy,11898666,Blackberrys,Bottom Wear,trousers,Men,blackberrys men beige trousers,1317.0,2195,40% OFF,"28, 30, 32, 34, 36, 38, 40, 42",4.2,238.0,878.0,40.0
https://www.myntra.com/trousers/highlander/highlander-men-olive-green-slim-fit-cotton-jogger-trousers/16058648/buy,16058648,HIGHLANDER,Bottom Wear,trousers,Men,highlander men olive green slim fit cotton jogger trousers,1106.0,2049,46% OFF,"30, 32, 34, 36",4.0,238.0,943.0,46.02244997559785
https://www.myntra.com/trousers/ivoc/ivoc-men-khaki-brown-slim-fit-solid-joggers/12356382/buy,12356382,IVOC,Bottom Wear,trousers,Men,ivoc men khaki brown slim fit solid joggers,856.0,1999,Rs. 1143 OFF,"28, 30, 32, 34, 36, 38",4.1,238.0,1143.0,57.17858929464732
https://www.myntra.com/jeans/highlander/highlander-men-grey-tapered-fit-mid-rise-mildly-distressed-jeans/13815380/buy,13815380,HIGHLANDER,Bottom Wear,jeans,Men,highlander men grey tapered fit mid rise mildly distressed jeans,892.0,1899,53% OFF,"30, 32, 34, 36, 38",4.1,238.0,1007.0,53.027909426013686
https://www.myntra.com/jeans/highlander/highlander-men-black-solid-slim-fit-jeans/10493346/buy,10493346,HIGHLANDER,Bottom Wear,jeans,Men,highlander men black solid slim fit jeans,702.0,1899,63% OFF,"30, 32, 34, 36, 38",4.0,238.0,1197.0,63.03317535545023
https://www.myntra.com/track-pants/mast--harbour/mast--harbour-men-blue-solid-joggers/12311936/buy,12311936,Mast & Harbour,Bottom Wear,track-pants,Men,mast  harbour men blue solid joggers,449.0,1799,75% OFF,"S, M, L, XL, XXL",4.1,238.0,1350.0,75.04168982768205
https://www.myntra.com/shorts/roadster/the-roadster-lifestyle-co-men-blue-solid-slim-fit-denim-shorts/13032102/buy,13032102,Roadster,Bottom Wear,shorts,Men,the roadster lifestyle co men blue solid slim fit denim shorts,679.0,1699,60% OFF,"28, 30, 32, 34, 36",4.4,238.0,1020.0,60.03531489111242
https://www.myntra.com/track-pants/ether/ether-men-teal-green-slim-fit-solid-joggers-with-side-stripe-detail/9889883/buy,9889883,ether,Bottom Wear,track-pants,Men,ether men teal green slim fit solid joggers with side stripe detail,674.0,1499,55% OFF,"S, M, L, XL, XXL",3.9,238.0,825.0,55.03669112741828
https://www.myntra.com/kurta-sets/sojanya/sojanya-men-blue--off-white-solid-kurta-with-churidar/5793926/buy,5793926,SOJANYA,Indian Wear,kurta-sets,Men,sojanya men blue  off white solid kurta with churidar,989.0,2199,55% OFF,"M, L, XL, XXL",4.0,238.0,1210.0,55.025011368804
https://www.myntra.com/innerwear-vests/dollar-bigboss/dollar-bigboss-pack-of-3-black-innerwear-vests/1763998/buy,1763998,Dollar Bigboss,Inner Wear &  Sleep Wear,innerwear-vests,Men,dollar bigboss pack of 3 black innerwear vests,477.0,597,20% OFF,"S, M, L, XL, XXL",3.8,238.0,120.0,20.100502512562816
https://www.myntra.com/socks/invictus/invictus-men-set-of-3-patterned-above-ankle-length-socks/1575040/buy,1575040,INVICTUS,Inner Wear &  Sleep Wear,socks,Men,invictus men set of 3 patterned above ankle length socks,329.0,549,40% OFF,Onesize,4.3,238.0,220.0,40.07285974499089
https://www.myntra.com/boxers/ivoc/ivoc-men-pack-of-4-yellow--blue-printed-pure-cotton-boxers/15265888/buy,15265888,IVOC,Inner Wear &  Sleep Wear,boxers,Men,ivoc men pack of 4 yellow  blue printed pure cotton boxers,1160.0,1996,Rs. 836 OFF,"L, XXL, M, XL",4.5,238.0,836.0,41.883767535070135
https://www.myntra.com/boxers/urban-scottish/urban-scottish-men-pack-of-2-printed-cotton-boxers-usbx1920/11199098/buy,11199098,URBAN SCOTTISH,Inner Wear &  Sleep Wear,boxers,Men,urban scottish men pack of 2 printed cotton boxers usbx1920,599.0,1499,60% OFF,"S, M, L, XL, XXL",4.2,238.0,900.0,60.04002668445631
https://www.myntra.com/innerwear-vests/dollar-bigboss/dollar-bigboss-pack-of-6-innerwear-vests/1763997/buy,1763997,Dollar Bigboss,Inner Wear &  Sleep Wear,innerwear-vests,Men,dollar bigboss pack of 6 innerwear vests,873.0,1164,25% OFF,"S, M, L, XL, XXL",4.2,238.0,291.0,25.0
https://www.myntra.com/innerwear-vests/us-polo-assn/us-polo-assn-men-pack-of-2-white-solid-innerwear-vests-i642-001-p2/9168515/buy,9168515,U.S. Polo Assn.,Inner Wear &  Sleep Wear,innerwear-vests,Men,us polo assn men pack of 2 white solid innerwear vests i642 001 p2,,628,,"XL, XXL",4.3,238.0,,
https://www.myntra.com/briefs/jockey/jockey-men-blue-striped-briefs-fp26-0105/11459962/buy,11459962,Jockey,Inner Wear &  Sleep Wear,briefs,Men,jockey men blue striped briefs fp26 0105,,299,,"S, M, L",4.5,238.0,,
https://www.myntra.com/tshirts/sztori/sztori-plus-size-men-charcoal-grey-solid-polo-collar-t-shirt/9656425/buy,9656425,Sztori,Plus Size,tshirts,Men,sztori plus size men charcoal grey solid polo collar t shirt,714.0,1299,45% OFF,"XXL, 3XL, 4XL, 5XL, 6XL",4.2,238.0,585.0,45.03464203233256
https://www.myntra.com/jackets/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-anthra-melange-solid-rapid-dry-running-jacket/11953128/buy,11953128,HRX by Hrithik Roshan,Sports Wear,jackets,Men,hrx by hrithik roshan men anthra melange solid rapid dry running jacket,769.0,2199,65% OFF,"S, M, L, XL, XXL",4.0,238.0,1430.0,65.02955889040473
https://www.myntra.com/shirts/jainish/jainish-men-red-classic-slim-fit-solid-formal-shirt/10683668/buy,10683668,JAINISH,Topwear,shirts,Men,jainish men red classic slim fit solid formal shirt,545.0,1299,58% OFF,"36, 38, 40, 42, 44",3.8,238.0,754.0,58.04464973056197
https://www.myntra.com/shirts/roadster/roadster-men-peach-coloured-regular-fit-solid-casual-sustainable-shirt/12442688/buy,12442688,Roadster,Topwear,shirts,Men,roadster men peach coloured regular fit solid casual sustainable shirt,839.0,1399,40% OFF,"38, 40, 42, 44",4.3,238.0,560.0,40.02859185132237
https://www.myntra.com/shirts/roadster/roadster-men-maroon--navy-blue-regular-fit-checked-sustainable-casual-shirt/11958288/buy,11958288,Roadster,Topwear,shirts,Men,roadster men maroon  navy blue regular fit checked sustainable casual shirt,749.0,1499,50% OFF,"38, 40, 42, 44, 46, 48",4.2,238.0,750.0,50.03335557038026
https://www.myntra.com/tshirts/the-bear-house/the-bear-house-men-olive-green--black-slim-fit-camouflage-printed-round-neck-pure-cotton-t-shirt/11275786/buy,11275786,THE BEAR HOUSE,Topwear,tshirts,Men,the bear house men olive green  black slim fit camouflage printed round neck pure cotton t shirt,758.0,1895,60% OFF,"S, M, L, XL, XXL, 3XL",4.4,238.0,1137.0,60.0
https://www.myntra.com/jackets/mast--harbour/mast--harbour-men-navy-blue-solid-lightweight-bomber-jacket/9298079/buy,9298079,Mast & Harbour,Topwear,jackets,Men,mast  harbour men navy blue solid lightweight bomber jacket,1599.0,3999,60% OFF,"S, M, L, XL",3.9,238.0,2400.0,60.01500375093774
https://www.myntra.com/tshirts/herenow/herenow-men-charcoal-grey--mustard-yellow-colourblocked-round-neck-t-shirt/12787232/buy,12787232,HERE&NOW,Topwear,tshirts,Men,herenow men charcoal grey  mustard yellow colourblocked round neck t shirt,439.0,799,45% OFF,"S, M, L, XL",4.2,238.0,360.0,45.056320400500624
https://www.myntra.com/tshirts/invictus/invictus-men-maroon-solid-pure-cotton-henley-neck-pure-cotton-t-shirt/12882158/buy,12882158,INVICTUS,Topwear,tshirts,Men,invictus men maroon solid pure cotton henley neck pure cotton t shirt,404.0,899,55% OFF,"S, M, L, XL, XXL",4.2,238.0,495.0,55.06117908787542
https://www.myntra.com/kurta-sets/sangria/sangria-women-teal-green--off-white-cotton-solid-high-low-kurta-with-printed-patiala/13249432/buy,13249432,Sangria,Indian Wear,kurta-sets,Women,sangria women teal green  off white cotton solid high low kurta with printed patiala,1049.0,2999,65% OFF,"XS, S, M, L, XL, XXL, 3XL",4.0,238.0,1950.0,65.0216738912971
https://www.myntra.com/kurta-sets/sangria/sangria-women-green--golden-printed-kurta-with-trousers--dupatta/13321232/buy,13321232,Sangria,Indian Wear,kurta-sets,Women,sangria women green  golden printed kurta with trousers  dupatta,1189.0,3399,65% OFF,"XS, S, M, L, XL, XXL, 3XL",4.4,238.0,2210.0,65.01912327155046
https://www.myntra.com/kurta-sets/sangria/sangria-women-green-zari-embroidered-anarkali-kurta-palazzo-dupatta-set/12104778/buy,12104778,Sangria,Indian Wear,kurta-sets,Women,sangria women green zari embroidered anarkali kurta palazzo dupatta set,2449.0,4899,50% OFF,"XS, S, M, L, XL, XXL, 3XL",4.3,238.0,2450.0,50.010206164523375
https://www.myntra.com/dupatta/dupatta-bazaar/dupatta-bazaar-white-chiffon-dupatta/1087788/buy,1087788,Dupatta Bazaar,Indian Wear,dupatta,Women,dupatta bazaar white chiffon dupatta,269.0,499,46% OFF,Onesize,3.5,238.0,230.0,46.09218436873748
https://www.myntra.com/bra/abelino/abelino-violet-lace-non-wired-heavily-padded-push-up-bra-leopurpleskin/13498722/buy,13498722,ABELINO,Lingerie & Sleep Wear,bra,Women,abelino violet lace non wired heavily padded push up bra leopurpleskin,539.0,1999,73% OFF,"28B, 30B, 32B, 34B, 36B, 38B, 40B",3.8,238.0,1460.0,73.03651825912956
https://www.myntra.com/bra/bodycare/bodycare-pack-of-3-full-coverage-bras-e1517www/5451441/buy,5451441,Bodycare,Lingerie & Sleep Wear,bra,Women,bodycare pack of 3 full coverage bras e1517www,,765,,"30B, 32B, 34B, 36B, 38B, 40B",4.1,238.0,,
https://www.myntra.com/trousers/jaipur-kurti/jaipur-kurti-women-blue-solid-trousers/2039873/buy,2039873,Jaipur Kurti,Plus Size,trousers,Women,jaipur kurti women blue solid trousers,623.0,1299,52% OFF,"28, 30, 32, 34, 36",4.3,238.0,676.0,52.04003079291763
https://www.myntra.com/kurta-sets/jaipur-kurti/jaipur-kurti-women-pink--white-printed-kurta-with-palazzos--dupatta/10717986/buy,10717986,Jaipur Kurti,Plus Size,kurta-sets,Women,jaipur kurti women pink  white printed kurta with palazzos  dupatta,1443.0,3799,62% OFF,"S, M, L, XL, XXL, 3XL",4.3,238.0,2356.0,62.01632008423269
https://www.myntra.com/tops/herenow/herenow-navy-blue--red-ethnic-motifs-pleated-a-line-top/8073903/buy,8073903,HERE&NOW,Plus Size,tops,Women,herenow navy blue  red ethnic motifs pleated a line top,,1699,,"XS, S, M, L, XL, XXL",3.7,238.0,,
https://www.myntra.com/track-pants/harvard/harvard-women-charcoal-grey-solid-joggers/11109794/buy,11109794,Harvard,Sports Wear,track-pants,Women,harvard women charcoal grey solid joggers,629.0,1399,55% OFF,"S, M, L, XL",4.3,238.0,770.0,55.03931379556827
https://www.myntra.com/tops/cottinfab/cottinfab-women-beige-printed-kaftan-top/2349940/buy,2349940,Cottinfab,Western,tops,Women,cottinfab women beige printed kaftan top,,1099,60% OFF,"S, M, L, XL, XXL",3.9,238.0,,
https://www.myntra.com/tops/sassafras/sassafras-black-off-shoulder-solid-smocked-tube-crop-top/14087576/buy,14087576,SASSAFRAS,Western,tops,Women,sassafras black off shoulder solid smocked tube crop top,,1199,56% OFF,"XS, S, M, L, XL",4.4,238.0,,
https://www.myntra.com/shirts/tokyo-talkies/tokyo-talkies-women-blue-regular-fit-checked-casual-shirt/12009546/buy,12009546,Tokyo Talkies,Western,shirts,Women,tokyo talkies women blue regular fit checked casual shirt,,1199,58% OFF,"S, M, L, XL",4.1,238.0,,
https://www.myntra.com/jeans/river-of-design-jeans/river-of-design-jeans-women-peach-coloured-wide-leg-high-rise-jeans/14981894/buy,14981894,River Of Design Jeans,Western,jeans,Women,river of design jeans women peach coloured wide leg high rise jeans,,1299,40% OFF,"28, 30, 32, 34",3.9,238.0,,
https://www.myntra.com/tops/20dresses/20dresses-women-black--off-white-floral-print-cinched-waist-top/11844142/buy,11844142,20Dresses,Western,tops,Women,20dresses women black  off white floral print cinched waist top,,1395,25% OFF,"XS, S, M, L, XL, XXL",4.4,238.0,,
https://www.myntra.com/jumpsuit/sera/sera-multicoloured-printed-playsuit/3100521/buy,3100521,Sera,Western,jumpsuit,Women,sera multicoloured printed playsuit,,1494,,"S, M, L, XL",4.2,238.0,,
https://www.myntra.com/jumpsuit/sassafras/sassafras-mustard-yellow--green-floral-print-wrap-playsuit/8643083/buy,8643083,SASSAFRAS,Western,jumpsuit,Women,sassafras mustard yellow  green floral print wrap playsuit,,1499,60% OFF,"XS, S, M, L, XL",4.3,238.0,,
https://www.myntra.com/jeans/roadster/roadster-women-blue-skinny-fit-mid-rise-clean-look-stretchable-jeans/8091663/buy,8091663,Roadster,Western,jeans,Women,roadster women blue skinny fit mid rise clean look stretchable jeans,,1499,30% OFF,"26, 28, 30, 32, 34, 36",4.2,238.0,,
https://www.myntra.com/sweaters/dressberry/dressberry-women-orange-ribbed-pullover-sweater/12098638/buy,12098638,DressBerry,Western,sweaters,Women,dressberry women orange ribbed pullover sweater,,1599,70% OFF,"XS, S, M, L, XL",4.2,238.0,,
https://www.myntra.com/tops/roadster/roadster-women-maroon--black-checked-top-with-tie-up-ruffled-neck/10962552/buy,10962552,Roadster,Western,tops,Women,roadster women maroon  black checked top with tie up ruffled neck,,1599,65% OFF,"XS, S, M, L, XL",3.8,238.0,,
https://www.myntra.com/trousers/street-9/street-9-women-navy-blue-regular-fit-solid-cargos/12277590/buy,12277590,STREET 9,Western,trousers,Women,street 9 women navy blue regular fit solid cargos,,1699,50% OFF,"26, 28, 30, 32, 34",3.9,238.0,,
https://www.myntra.com/dresses/berrylush/berrylush-women-green--blue-floral-printed-a-line-dress-with-tie-up-detail/13724232/buy,13724232,Berrylush,Western,dresses,Women,berrylush women green  blue floral printed a line dress with tie up detail,,1899,37% OFF,"S, M, L, XL",4.4,238.0,,
https://www.myntra.com/dresses/momtobe/momtobe-navy-blue-abstract-printed-maternity-dress/14147190/buy,14147190,MomToBe,Western,dresses,Women,momtobe navy blue abstract printed maternity dress,,1998,48% OFF,"M, L, XL, XXL, 3XL",4.3,238.0,,
https://www.myntra.com/trousers/sassafras/sassafras-women-blue-solid-high-rise-regular-trousers/12222050/buy,12222050,SASSAFRAS,Western,trousers,Women,sassafras women blue solid high rise regular trousers,,1999,55% OFF,"26, 28, 30, 32, 34, 36",4.2,238.0,,
